1.799990	7870.522933	10690.997241
1.799991	9518.621067	11078.060157
1.799992	9229.729867	10692.741051
1.799993	10379.247667	11009.652363
1.799994	9212.601067	11084.773466
1.799995	9552.766000	11052.724128
1.799996	9742.320267	11084.082011
1.799997	8264.319400	10570.954660
1.799998	9189.796333	10677.829595
1.799999	9648.051467	10845.730339
1.800000	8096.479800	10293.916148
1.800001	51.973200	51.648182
1.800002	53.413200	54.124841
1.800002	53.668400	54.425709
1.800003	53.135800	54.078887
1.800004	52.691933	52.093242
1.800005	53.642733	54.100913
1.800006	53.698000	54.683605
1.800007	52.414467	52.411042
1.800008	53.406667	53.426693
1.800009	53.136600	54.252437
