1.799991	1.723467 0.000000 0.000000 0.000000 0.000000 0.000000 0.034600 0.965400 0.000000 0.000000 
1.799991	24.167000 0.495800 0.431533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799992	1.663200 0.000000 0.000000 0.000000 0.000000 0.000000 0.011867 0.988133 0.000000 0.000000 
1.799992	24.442533 0.508200 0.440800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799993	2.018133 0.000000 0.000000 0.000000 0.000000 0.000000 0.057333 0.942667 0.000000 0.000000 
1.799993	23.349667 0.411533 0.502667 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799994	1.753000 0.000000 0.000000 0.000000 0.000000 0.000000 0.021933 0.978067 0.000000 0.000000 
1.799994	24.177533 0.457267 0.484067 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799995	1.683933 0.000000 0.000000 0.000000 0.000000 0.000000 0.062333 0.937667 0.000000 0.000000 
1.799995	23.548933 0.400533 0.525200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799996	1.616333 0.000000 0.000000 0.000000 0.000000 0.000000 0.019200 0.980800 0.000000 0.000000 
1.799996	23.117800 0.393467 0.491800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799997	1.685200 0.000000 0.000000 0.000000 0.000000 0.000000 0.008000 0.992000 0.000000 0.000000 
1.799997	24.298533 0.484733 0.423467 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799998	1.503267 0.000000 0.000000 0.000000 0.000000 0.000000 0.032400 0.967600 0.000000 0.000000 
1.799998	24.040733 0.469000 0.439533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799999	1.722667 0.000000 0.000000 0.000000 0.000000 0.000000 0.025067 0.974933 0.000000 0.000000 
1.799999	24.914667 0.529800 0.431267 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800000	1.759600 0.000000 0.000000 0.000000 0.000000 0.000000 0.078467 0.921533 0.000000 0.000000 
1.800000	25.977933 0.479000 0.460067 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800001	1.822000 0.000000 0.000000 0.000000 0.000000 0.000000 0.031000 0.969000 0.000000 0.000000 
1.800001	24.932933 0.497933 0.432200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800002	132.116067 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800002	0.176733 0.000000 0.000000 0.000000 0.000000 0.000000 0.828133 0.171867 0.000000 0.000000 
1.800002	132.139067 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800002	0.174867 0.000000 0.000000 0.000000 0.000000 0.000000 0.825667 0.174333 0.000000 0.000000 
1.800003	132.495933 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800003	0.171533 0.000000 0.000000 0.000000 0.000000 0.000000 0.825800 0.174200 0.000000 0.000000 
1.800004	132.351400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800004	0.168800 0.000000 0.000000 0.000000 0.000000 0.000000 0.829200 0.170800 0.000000 0.000000 
1.800005	132.350333 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800005	0.176333 0.000000 0.000000 0.000000 0.000000 0.000000 0.826933 0.173067 0.000000 0.000000 
1.800006	132.190267 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800006	0.171600 0.000000 0.000000 0.000000 0.000000 0.000000 0.827200 0.172800 0.000000 0.000000 
1.800007	132.246000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800007	0.179533 0.000000 0.000000 0.000000 0.000000 0.000000 0.830267 0.169733 0.000000 0.000000 
1.800008	132.045267 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800008	0.166467 0.000000 0.000000 0.000000 0.000000 0.000000 0.822133 0.177867 0.000000 0.000000 
1.800009	132.316133 0.000067 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800009	0.173800 0.000000 0.000000 0.000000 0.000000 0.000000 0.828133 0.171867 0.000000 0.000000 
1.800010	132.220333 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800010	0.168400 0.000000 0.000000 0.000000 0.000000 0.000000 0.825600 0.174400 0.000000 0.000000 
