1.799991	7.070933 0.000000 0.000000 0.000000 0.000000 0.000000 0.010000 0.990000 0.000000 0.000000 
1.799991	98.079200 0.676600 0.154400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799992	7.090867 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799992	97.282800 0.663933 0.191733 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799993	6.756467 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799993	95.889200 0.643200 0.205333 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799994	6.503467 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799994	102.353533 0.618333 0.104533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799995	6.741200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799995	99.066000 0.675200 0.126933 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799996	6.975067 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799996	98.061667 0.626933 0.244200 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799997	7.233267 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799997	96.869000 0.643267 0.216600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799998	7.628800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799998	98.239133 0.626400 0.149733 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.799999	6.520933 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.799999	99.147200 0.685533 0.161800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800000	7.007000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 
1.800000	98.620400 0.647867 0.142800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800001	6.851867 0.000000 0.000000 0.000000 0.000000 0.000000 0.002467 0.997533 0.000000 0.000000 
1.800001	98.070400 0.708667 0.153467 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800002	528.655000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800002	0.688467 0.000000 0.000000 0.000000 0.000000 0.000000 0.969667 0.030333 0.000000 0.000000 
1.800002	528.768867 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800002	0.681333 0.000000 0.000000 0.000000 0.000000 0.000000 0.968333 0.031667 0.000000 0.000000 
1.800003	528.659400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800003	0.679933 0.000000 0.000000 0.000000 0.000000 0.000000 0.967467 0.032533 0.000000 0.000000 
1.800004	528.617133 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800004	0.680667 0.000000 0.000000 0.000000 0.000000 0.000000 0.965600 0.034400 0.000000 0.000000 
1.800005	528.860400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800005	0.683400 0.000000 0.000000 0.000000 0.000000 0.000000 0.969800 0.030200 0.000000 0.000000 
1.800006	528.983533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800006	0.678867 0.000000 0.000000 0.000000 0.000000 0.000000 0.969467 0.030533 0.000000 0.000000 
1.800007	528.876333 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800007	0.699800 0.000000 0.000000 0.000000 0.000000 0.000000 0.969400 0.030600 0.000000 0.000000 
1.800008	528.572600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800008	0.695667 0.000000 0.000000 0.000000 0.000000 0.000000 0.971133 0.028867 0.000000 0.000000 
1.800009	528.687800 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800009	0.691667 0.000000 0.000000 0.000000 0.000000 0.000000 0.969933 0.030067 0.000000 0.000000 
1.800010	528.890533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1.800010	0.685533 0.000000 0.000000 0.000000 0.000000 0.000000 0.972333 0.027667 0.000000 0.000000 
